DATE,VALUE
1947-01-01,7.56760
1947-04-01,7.56647
1947-07-01,7.56543
1947-10-01,7.58106
1948-01-01,7.59564
1948-04-01,7.61179
1948-07-01,7.61737
1948-10-01,7.61840
1949-01-01,7.60465
1949-04-01,7.60130
1949-07-01,7.61224
1949-10-01,7.60325
1950-01-01,7.64233
1950-04-01,7.67211
1950-07-01,7.70994
1950-10-01,7.72903
1951-01-01,7.74262
1951-04-01,7.75983
1951-07-01,7.78022
1951-10-01,7.78243
1952-01-01,7.79297
1952-04-01,7.79503
1952-07-01,7.80225
1952-10-01,7.83455
1953-01-01,7.85298
1953-04-01,7.86076
1953-07-01,7.85512
1953-10-01,7.83984
1954-01-01,7.83518
1954-04-01,7.83625
1954-07-01,7.84753
1954-10-01,7.86684
1955-01-01,7.89499
1955-04-01,7.91114
1955-07-01,7.92447
1955-10-01,7.93049
1956-01-01,7.92660
1956-04-01,7.93484
1956-07-01,7.93401
1956-10-01,7.95022
1957-01-01,7.95665
1957-04-01,7.95444
1957-07-01,7.96412
1957-10-01,7.95381
1958-01-01,7.92758
1958-04-01,7.93412
1958-07-01,7.95700
1958-10-01,7.98013
1959-01-01,7.99854
1959-04-01,8.02257
1959-07-01,8.02063
1959-10-01,8.02457
1960-01-01,8.04661
1960-04-01,8.04280
1960-07-01,8.04530
1960-10-01,8.03311
1961-01-01,8.03990
1961-04-01,8.05830
1961-07-01,8.07484
1961-10-01,8.09490
1962-01-01,8.11277
1962-04-01,8.12347
1962-07-01,8.13294
1962-10-01,8.13681
1963-01-01,8.14790
1963-04-01,8.16083
1963-07-01,8.18018
1963-10-01,8.18730
1964-01-01,8.20868
1964-04-01,8.22051
1964-07-01,8.23401
1964-10-01,8.23753
1965-01-01,8.26191
1965-04-01,8.27548
1965-07-01,8.29560
1965-10-01,8.31889
1966-01-01,8.34329
1966-04-01,8.34738
1966-07-01,8.35449
1966-10-01,8.36302
1967-01-01,8.37214
1967-04-01,8.37302
1967-07-01,8.38163
1967-10-01,8.38963
1968-01-01,8.40974
1968-04-01,8.42648
1968-07-01,8.43366
1968-10-01,8.43811
1969-01-01,8.45353
1969-04-01,8.45674
1969-07-01,8.46297
1969-10-01,8.45861
1970-01-01,8.45683
1970-04-01,8.45859
1970-07-01,8.46741
1970-10-01,8.45708
1971-01-01,8.48349
1971-04-01,8.48918
1971-07-01,8.49699
1971-10-01,8.49990
1972-01-01,8.51767
1972-04-01,8.54058
1972-07-01,8.54974
1972-10-01,8.56621
1973-01-01,8.59054
1973-04-01,8.60181
1973-07-01,8.59636
1973-10-01,8.60564
1974-01-01,8.59730
1974-04-01,8.59993
1974-07-01,8.59020
1974-10-01,8.58620
1975-01-01,8.57403
1975-04-01,8.58171
1975-07-01,8.59811
1975-10-01,8.61148
1976-01-01,8.63382
1976-04-01,8.64136
1976-07-01,8.64643
1976-10-01,8.65391
1977-01-01,8.66548
1977-04-01,8.68491
1977-07-01,8.70244
1977-10-01,8.70254
1978-01-01,8.70603
1978-04-01,8.74417
1978-07-01,8.75389
1978-10-01,8.76722
1979-01-01,8.76920
1979-04-01,8.77041
1979-07-01,8.77757
1979-10-01,8.78016
1980-01-01,8.78338
1980-04-01,8.76290
1980-07-01,8.76138
