DATE,VALUE
1947-01-01,2.53099
1947-04-01,2.54514
1947-07-01,2.56164
1947-10-01,2.58596
1948-01-01,2.59369
1948-04-01,2.60247
1948-07-01,2.62082
1948-10-01,2.62387
1949-01-01,2.61864
1949-04-01,2.60852
1949-07-01,2.60336
1949-10-01,2.60402
1950-01-01,2.60195
1950-04-01,2.60550
1950-07-01,2.62698
1950-10-01,2.64547
1951-01-01,2.68075
1951-04-01,2.68730
1951-07-01,2.68792
1951-10-01,2.69928
1952-01-01,2.69887
1952-04-01,2.70015
1952-07-01,2.71125
1952-10-01,2.71410
1953-01-01,2.71443
1953-04-01,2.71635
1953-07-01,2.72051
1953-10-01,2.72254
1954-01-01,2.72563
1954-04-01,2.72661
1954-07-01,2.72785
1954-10-01,2.73066
1955-01-01,2.73547
1955-04-01,2.73961
1955-07-01,2.74663
1955-10-01,2.75640
1956-01-01,2.76644
1956-04-01,2.77240
1956-07-01,2.78483
1956-10-01,2.78895
1957-01-01,2.80245
1957-04-01,2.80946
1957-07-01,2.81547
1957-10-01,2.81607
1958-01-01,2.82684
1958-04-01,2.82968
1958-07-01,2.83574
1958-10-01,2.84042
1959-01-01,2.84311
1959-04-01,2.84456
1959-07-01,2.84828
1959-10-01,2.85221
1960-01-01,2.85630
1960-04-01,2.85894
1960-07-01,2.86254
1960-10-01,2.86562
1961-01-01,2.86779
1961-04-01,2.87023
1961-07-01,2.87283
1961-10-01,2.87610
1962-01-01,2.88127
1962-04-01,2.88290
1962-07-01,2.88497
1962-10-01,2.88692
1963-01-01,2.89132
1963-04-01,2.89298
1963-07-01,2.89420
1963-10-01,2.90230
1964-01-01,2.90548
1964-04-01,2.90788
1964-07-01,2.91192
1964-10-01,2.91647
1965-01-01,2.92149
1965-04-01,2.92595
1965-07-01,2.92991
1965-10-01,2.93667
1966-01-01,2.94312
1966-04-01,2.95131
1966-07-01,2.96099
1966-10-01,2.96944
1967-01-01,2.97359
1967-04-01,2.97864
1967-07-01,2.98815
1967-10-01,2.99908
1968-01-01,3.01013
1968-04-01,3.02062
1968-07-01,3.03042
1968-10-01,3.04447
1969-01-01,3.05480
1969-04-01,3.06749
1969-07-01,3.08145
1969-10-01,3.09426
1970-01-01,3.10826
1970-04-01,3.12210
1970-07-01,3.13026
1970-10-01,3.14338
1971-01-01,3.15853
1971-04-01,3.17162
1971-07-01,3.18171
1971-10-01,3.18998
1972-01-01,3.20534
1972-04-01,3.21145
1972-07-01,3.22079
1972-10-01,3.23341
1973-01-01,3.24497
1973-04-01,3.26009
1973-07-01,3.27899
1973-10-01,3.29868
1974-01-01,3.31753
1974-04-01,3.34102
1974-07-01,3.36960
1974-10-01,3.39863
1975-01-01,3.42103
1975-04-01,3.43589
1975-07-01,3.45354
1975-10-01,3.47007
1976-01-01,3.48041
1976-04-01,3.49052
1976-07-01,3.50333
1976-10-01,3.52090
1977-01-01,3.53686
1977-04-01,3.55079
1977-07-01,3.56303
1977-10-01,3.58452
1978-01-01,3.59931
1978-04-01,3.61744
1978-07-01,3.63403
1978-10-01,3.65483
1979-01-01,3.67255
1979-04-01,3.69645
1979-07-01,3.71759
1979-10-01,3.73734
1980-01-01,3.75792
1980-04-01,3.77963
1980-07-01,3.80239
1980-10-01,3.82964
1981-01-01,3.85431
1981-04-01,3.87289
1981-07-01,3.89072
1981-10-01,3.90928
1982-01-01,3.92318
1982-04-01,3.93515
1982-07-01,3.94945
1982-10-01,3.96049
1983-01-01,3.96854
1983-04-01,3.97528
1983-07-01,3.98570
1983-10-01,3.99303
1984-01-01,4.00362
1984-04-01,4.01200
1984-07-01,4.02007
1984-10-01,4.02676
1985-01-01,4.03820
1985-04-01,4.04437
1985-07-01,4.05015
1985-10-01,4.05592
1986-01-01,4.06079
1986-04-01,4.06478
1986-07-01,4.06880
1986-10-01,4.07436
1987-01-01,4.08160
1987-04-01,4.08828
1987-07-01,4.09551
1987-10-01,4.10375
1988-01-01,4.11158
1988-04-01,4.12120
1988-07-01,4.13291
1988-10-01,4.14089
1989-01-01,4.15183
1989-04-01,4.16211
1989-07-01,4.16933
1989-10-01,4.17626
1990-01-01,4.18724
1990-04-01,4.19750
1990-07-01,4.20639
1990-10-01,4.21393
1991-01-01,4.22385
1991-04-01,4.23068
1991-07-01,4.23800
1991-10-01,4.24338
1992-01-01,4.24767
1992-04-01,4.25402
1992-07-01,4.25877
1992-10-01,4.26551
1993-01-01,4.27118
1993-04-01,4.27724
1993-07-01,4.28324
1993-10-01,4.28844
1994-01-01,4.29328
1994-04-01,4.29825
1994-07-01,4.30365
1994-10-01,4.30913
1995-01-01,4.31486
1995-04-01,4.31925
1995-07-01,4.32399
1995-10-01,4.32890
