,NBREC,TRES,FYFF,PSCCOM
1959/01/05,10560,11112,2.48,100.100006
1959/02/04,10624,11129,2.4,99.300003
1959/03/07,10482,11081,2.8,101.100006
1959/04/06,10424,11116,2.96,102.399994
1959/05/07,10317,11058,2.9,103.5
1959/06/06,10043,10972,3.39,103.399994
1959/07/07,10148,11109,3.44,101.899994
1959/08/06,10177,11168,3.5,102
1959/09/06,10202,11128,3.76,101.899994
1959/10/06,10150,11057,3.98,101.199997
1959/11/06,10194,11052,4,100.5
1959/12/06,10168,11109,3.99,98.699997
1960/01/06,10194,11081,3.99,99.600006
1960/02/05,10074,10884,3.97,99
1960/03/07,10155,10796,3.84,99
1960/04/06,10161,10767,3.92,100.899994
1960/05/07,10344,10840,3.85,101.300003
1960/06/06,10451,10885,3.32,100.600006
1960/07/07,10615,10994,3.23,100.699997
1960/08/06,10782,11078,2.98,100.5
1960/09/06,10932,11147,2.6,98.899994
1960/10/06,11049,11216,2.47,98.199997
1960/11/06,11166,11299,2.44,97.600006
1960/12/06,11172,11247,1.98,96.399994
1961/01/06,11259,11324,1.45,97.600006
1961/02/05,11096,11229,2.54,99.5
1961/03/08,11038,11108,2.02,101.399994
1961/04/07,11066,11123,1.5,102.399994
1961/05/08,10940,11035,1.98,101.800003
1961/06/07,11024,11087,1.73,98.899994
1961/07/08,11070,11124,1.16,99.399994
1961/08/07,11169,11234,2,100
1961/09/07,11251,11289,1.88,99.399994
1961/10/07,11342,11413,2.26,98.600006
1961/11/07,11384,11482,2.62,97.600006
1961/12/07,11366,11499,2.33,99.600006
1962/01/07,11403,11490,2.14,100.399994
1962/02/06,11233,11301,2.37,98.5
1962/03/09,11170,11259,2.7,99
1962/04/08,11258,11330,2.69,97.300003
1962/05/09,11323,11384,2.29,96.5
1962/06/08,11226,11328,2.68,94.899994
1962/07/09,11302,11394,2.71,94.399994
1962/08/08,11231,11355,2.93,94.5
1962/09/08,11303,11383,2.9,94.399994
1962/10/08,11387,11450,2.9,94.800003
1962/11/08,11372,11492,2.94,94.899994
1962/12/08,11344,11604,2.93,94.5
1963/01/08,11421,11567,2.91,95.399994
1963/02/07,11290,11456,3,95.199997
1963/03/10,11255,11404,2.98,94.100006
1963/04/09,11319,11449,2.9,94.899994
1963/05/10,11216,11426,3,97
1963/06/09,11139,11398,2.99,95.399994
1963/07/10,11232,11530,3.02,95.699997
1963/08/09,11155,11484,3.49,94.5
1963/09/09,11184,11503,3.48,94.899994
1963/10/09,11137,11457,3.5,97.800003
1963/11/09,11198,11547,3.48,97.699997
1963/12/09,11397,11730,3.38,96.899994
1964/01/09,11369,11643,3.48,97.399994
1964/02/08,11261,11547,3.48,96.300003
1964/03/10,11285,11563,3.43,96.199997
1964/04/09,11326,11537,3.47,98.300003
1964/05/10,11263,11523,3.5,97.199997
1964/06/09,11326,11595,3.5,97.100006
1964/07/10,11387,11651,3.42,97.800003
1964/08/09,11480,11795,3.5,99.899994
1964/09/09,11518,11863,3.45,102
1964/10/09,11567,11888,3.36,104.399994
1964/11/09,11598,11998,3.52,104.800003
1964/12/09,11747,12011,3.85,105.300003
1965/01/09,11653,11952,3.8999999985,104.39999986
1965/02/08,11479,11883,3.9799999967,104.5
1965/03/11,11472,11884,4.0399999917,105.0999999
1965/04/10,11571,12043,4.0899999887,107.29999995
1965/05/11,11417,11912,4.099999994,107.29999995
1965/06/10,11467,12005,4.0399999917,106.29999995
1965/07/11,11544,12073,4.0899999887,105.39999986
1965/08/10,11531,12079,4.1199999899,106.79999995
1965/09/10,11517,12071,4.0099999905,107.5999999
1965/10/10,11630,12118,4.0799999982,107.79999995
1965/11/10,11655,12087,4.099999994,108.29999995
1965/12/10,11872,12316,4.3199999928,111.0999999
1966/01/10,11875,12295,4.4199999869,114.29999995
1966/02/09,11711,12193,4.599999994,116.0999999
1966/03/12,11604,12164,4.6499999911,115.89999986
1966/04/11,11621,12258,4.6699999869,114.79999995
1966/05/12,11575,12263,4.8999999911,113
1966/06/11,11549,12256,5.1699999869,113.69999981
1966/07/12,11629,12371,5.299999997,115.39999986
1966/08/11,11430,12165,5.5299999863,112.89999986
1966/09/11,11460,12229,5.3999999911,109.5
1966/10/11,11465,12199,5.5299999863,105.79999995
1966/11/11,11598,12205,5.7699999958,104.69999981
1966/12/11,11690,12223,5.3999999911,104.89999986
1967/01/01,11924,12334,4.9399999976,105
1967/02/01,11916,12280,5,104.0999999
1967/03/01,12237,12438,4.5299999863,102
1967/04/01,12342,12488,4.049999997,100.0999999
1967/05/01,12329,12418,3.9399999976,101
1967/06/01,12351,12457,3.9799999967,100.79999995
1967/07/01,12607,12722,3.7899999991,99.099999905
1967/08/01,12598,12678,3.8899999931,98.699999809
1967/09/01,12758,12846,4,97.899999857
1967/10/01,12959,13088,3.8799999952,96.899999857
1967/11/01,12999,13131,4.1199999899,96.899999857
1967/12/01,12952,13180,4.5099999905,98.099999905
1968/01/01,12993,13239,4.599999994,98.099999905
1968/02/01,12815,13188,4.7199999988,98.399999857
1968/03/01,12527,13186,5.049999997,99
1968/04/01,12432,13117,5.7599999905,98
1968/05/01,12389,13130,6.1199999899,96.699999809
1968/06/01,12557,13251,6.0699999928,96.099999905
1968/07/01,12928,13455,6.0199999958,95.399999857
1968/08/01,12875,13440,6.0299999863,95.599999905
1968/09/01,12931,13435,5.7799999863,96.399999857
1968/10/01,13086,13529,5.9199999869,97.099999905
1968/11/01,13104,13649,5.8099999875,100.0999999
1968/12/01,13021,13767,6.0199999958,100.79999995
1969/01/01,12893,13629,6.299999997,102.89999986
1969/02/01,12879,13714,6.6399999857,105.0999999
1969/03/01,12751,13653,6.7899999917,106.19999981
1969/04/01,12468,13471,7.4099999964,107.79999995
1969/05/01,12470,13844,8.6699999869,109.79999995
1969/06/01,12410,13795,8.8999999762,111.29999995
1969/07/01,12239,13491,8.6099999845,111.29999995
1969/08/01,12565,13784,9.1899999976,113.19999981
1969/09/01,12743,13822,9.1499999762,113.89999986
1969/10/01,12754,13904,9,113.5999999
1969/11/01,12969,14172,8.849999994,114.19999981
1969/12/01,13049,14168,8.9699999988,114.5999999
1970/01/01,13128,14087,8.9799999893,116.0999999
1970/02/01,13019,14099,8.9799999893,116.5999999
1970/03/01,13173,14071,7.7599999905,116.89999986
1970/04/01,13364,14209,8.099999994,116.29999995
1970/05/01,13040,14007,7.9399999976,115
1970/06/01,13197,14078,7.599999994,113.79999995
1970/07/01,12799,14159,7.2099999934,112.89999986
1970/08/01,13445,14282,6.6099999994,112.89999986
1970/09/01,13847,14447,6.2899999917,112
1970/10/01,14017,14480,6.1999999881,110.89999986
1970/11/01,14055,14470,5.599999994,109.19999981
1970/12/01,14225,14558,4.8999999911,107.19999981
1971/01/01,14240,14604,4.1399999857,107.0999999
1971/02/01,14488,14819,3.7199999988,109.89999986
1971/03/01,14479,14798,3.7099999934,109.29999995
1971/04/01,14606,14759,4.1499999911,109.69999981
1971/05/01,14698,14982,4.6299999952,108.79999995
1971/06/01,14564,15057,4.9099999964,108.0999999
1971/07/01,14302,15125,5.3099999875,108.29999995
1971/08/01,14380,15190,5.5699999928,108.29999995
1971/09/01,14928,15423,5.549999997,107.39999986
1971/10/01,14854,15211,5.1999999881,106.69999981
1971/11/01,14864,15247,4.9099999964,105.79999995
1971/12/01,15104,15230,4.1399999857,106.69999981
1972/01/01,15347,15369,3.5,110.29999995
1972/02/01,15331,15363,3.2899999991,112.39999986
1972/03/01,15382,15480,3.8299999982,114.39999986
1972/04/01,15534,15651,4.1699999869,115.5999999
1972/05/01,15628,15739,4.2699999958,119.19999981
1972/06/01,15809,15909,4.4599999934,119.0999999
1972/07/01,15597,15835,4.549999997,119.79999995
1972/08/01,15623,16010,4.799999997,121
1972/09/01,15459,16000,4.8699999899,122.69999981
1972/10/01,15637,16193,5.0399999917,124.5
1972/11/01,15833,16441,5.0599999875,126.19999981
1972/12/01,15595,16645,5.3299999982,130.79999971
1973/01/01,15548,16708,5.9399999976,134.39999962
1973/02/01,15120,16714,6.5799999982,143
1973/03/01,15099,16923,7.0899999887,149.89999962
1973/04/01,15020,16731,7.1199999899,152.89999962
1973/05/01,14830,16672,7.8399999887,161.0999999
1973/06/01,14903,16746,8.4899999797,171.19999981
1973/07/01,15067,16988,10.399999976,181.89999962
1973/08/01,14657,16796,10.5,207.79999971
1973/09/01,14909,16735,10.779999971,194.89999962
1973/10/01,15464,16924,10.00999999,192
1973/11/01,15585,16978,10.029999971,192.0999999
1973/12/01,15723,17021,9.9499999881,204.29999971
1974/01/01,16174,17222,9.6499999762,213.29999971
1974/02/01,15933,17125,8.9699999988,232
1974/03/01,15817,17131,9.349999994,233
1974/04/01,15561,17298,10.50999999,230.79999971
1974/05/01,15491,17423,11.309999973,221.5999999
1974/06/01,15587,17367,11.929999977,224.39999962
1974/07/01,15615,17486,12.919999987,236.89999962
1974/08/01,15592,17391,12.00999999,240.79999971
1974/09/01,15731,17385,11.339999974,230.5
1974/10/01,16021,17349,10.059999973,231.5
1974/11/01,16361,17453,9.4499999881,227.79999971
1974/12/01,16970,17550,8.5299999714,213.0999999
1975/01/01,17010,17273,7.1299999952,205.0999999
1975/02/01,17176,17271,6.2399999946,201.89999962
1975/03/01,17370,17439,5.5399999917,198.5999999
1975/04/01,17398,17498,5.4899999946,201.19999981
1975/05/01,17291,17353,5.2199999988,194.5
1975/06/01,17504,17715,5.549999997,187.19999981
1975/07/01,17351,17632,6.099999994,195.5
1975/08/01,17461,17660,6.1399999857,205.5999999
1975/09/01,17452,17834,6.2399999946,206.29999971
1975/10/01,17408,17587,5.8199999928,201.39999962
1975/11/01,17794,17849,5.2199999988,191.69999981
1975/12/01,17704,17822,5.1999999881,189.69999981
1976/01/01,17549,17616,4.8699999899,190.39999962
1976/02/01,17734,17806,4.7699999958,193.19999981
1976/03/01,17824,17875,4.8399999887,196
1976/04/01,17675,17719,4.8199999928,202.29999971
1976/05/01,17826,17940,5.2899999917,202.79999971
1976/06/01,17820,17946,5.4799999893,207.39999962
1976/07/01,17714,17846,5.3099999875,216
1976/08/01,17953,18053,5.2899999917,206.89999962
1976/09/01,17948,18009,5.25,203.0999999
1976/10/01,17983,18077,5.0299999863,196.5
1976/11/01,18268,18340,4.9499999881,197.19999981
1976/12/01,18335,18388,4.6499999911,200.5999999
1977/01/01,18353,18421,4.6099999994,207.29999971
1977/02/01,18227,18299,4.6799999923,213
1977/03/01,18301,18405,4.6899999976,218.39999962
1977/04/01,18406,18479,4.7299999893,220.79999971
1977/05/01,18379,18585,5.349999994,218.69999981
1977/06/01,18208,18471,5.3899999857,208.5
1977/07/01,18425,18748,5.4199999869,204.0999999
1977/08/01,17858,18919,5.8999999911,200.79999971
1977/09/01,18247,18873,6.1399999857,201.29999971
1977/10/01,17658,18963,6.4699999988,203.29999971
1977/11/01,18150,19012,6.5099999905,205.89999962
1977/12/01,18420,18990,6.5599999875,212.69999981
1978/01/01,18806,19290,6.6999999881,218
1978/02/01,19155,19561,6.7799999863,220.29999971
1978/03/01,18958,19286,6.7899999917,226.39999962
1978/04/01,18851,19408,6.8899999857,228
1978/05/01,18443,19655,7.3599999994,228.0999999
1978/06/01,18774,19868,7.599999994,229.69999981
1978/07/01,18801,20118,7.8099999875,228.89999962
1978/08/01,18772,19912,8.0399999917,236.19999981
1978/09/01,18934,19994,8.4499999881,243
1978/10/01,18832,20109,8.9599999785,251
1978/11/01,19169,19872,9.7599999905,252.19999981
1978/12/01,18885,19753,10.029999971,250.79999971
1979/01/01,18818,19821,10.069999993,255.29999971
1979/02/01,18423,19396,10.059999973,268.09999943
1979/03/01,18439,19429,10.089999974,277.39999962
1979/04/01,18587,19504,10.00999999,276.29999924
1979/05/01,17788,19553,10.23999998,277.09999943
1979/06/01,18390,19808,10.289999992,278.09999943
1979/07/01,18822,19992,10.469999999,281.19999981
1979/08/01,18923,20008,10.939999998,279.5
1979/09/01,18667,20007,11.429999977,281.09999943
1979/10/01,18353,20375,13.769999981,283.79999924
1979/11/01,18492,20398,13.179999977,281
1979/12/01,19248,20720,13.779999971,286.19999981
1980/01/01,19452,20693,13.819999993,287.09999943
1980/02/01,19027,20682,14.129999995,294.09999943
1980/03/01,17978,20703,17.189999998,285.29999924
1980/04/01,18726,20629,17.609999955,272.5
1980/05/01,20164,20440,10.979999989,264.09999943
1980/06/01,20503,20575,9.4699999988,260.29999924
1980/07/01,20654,20796,9.0299999714,274.59999943
1980/08/01,20594,21011,9.6099999845,288.69999981
1980/09/01,20011,21232,10.869999975,292.79999924
1980/10/01,19837,21147,12.809999973,296.59999943
1980/11/01,20091,22150,15.849999994,298.39999962
1980/12/01,20328,22015,18.899999976,287.69999981
1981/01/01,20348,21673,19.079999983,281.69999981
1981/02/01,20557,21840,15.929999977,273.39999962
1981/03/01,21086,22072,14.699999988,275.09999943
1981/04/01,20857,22187,15.719999999,276
1981/05/01,20224,22442,18.519999981,270.09999943
1981/06/01,20295,22326,19.099999964,267.89999962
1981/07/01,20653,22329,19.039999962,274.19999981
1981/08/01,21017,22356,17.819999993,272.59999943
1981/09/01,21332,22487,15.869999975,266.39999962
1981/10/01,21553,22296,15.079999983,260.5
1981/11/01,21840,22338,13.309999973,254.79999971
1981/12/01,21956,22443,12.369999975,249.39999962
1982/01/01,21349,22669,13.219999999,251.5
1982/02/01,20994,22551,14.779999971,252.5999999
1982/03/01,21206,22452,14.679999977,247.19999981
1982/04/01,21014,22337,14.939999998,245.79999971
1982/05/01,21461,22402,14.449999988,248.5999999
1982/06/01,21268,22368,14.149999976,240
1982/07/01,21541,22182,12.589999974,241
1982/08/01,21926,22348,10.119999975,238.39999962
1982/09/01,21871,22686,10.309999973,237.69999981
1982/10/01,22553,22889,9.7099999785,232.79999971
1982/11/01,22921,23354,9.1999999881,228
1982/12/01,23152,23600,8.9499999881,226.79999971
1983/01/01,22854,23226,8.6799999774,229.89999962
1983/02/01,23597,23901,8.5099999905,238.0999999
1983/03/01,23939,24414,8.7699999809,242.89999962
1983/04/01,24295,24900,8.7999999821,249.29999971
