,GDPM,PGDPM
1965/01/09,2823.6918302,24.782483
1965/02/08,2858.0157657,24.829209
1965/03/11,2906.4284085,24.788285
1965/04/10,2907.7360293,24.888892
1965/05/11,2910.4188586,24.88884
1965/06/10,2897.6970969,24.922268
1965/07/11,2932.7631165,25.079448
1965/08/10,2949.0003115,25.102043
1965/09/10,2979.2705556,25.118509
1965/10/10,3020.7860095,25.20585
1965/11/10,3025.2108491,25.193451
1965/12/10,3041.4151441,25.200699
1966/01/10,3064.5611329,25.30538
1966/02/09,3087.8484191,25.444146
1966/03/12,3128.938441,25.450474
1966/04/11,3120.3900146,25.533737
1966/05/12,3094.2009873,25.622348
1966/06/11,3098.4910047,25.643915
1966/07/12,3113.9123412,25.801064
1966/08/11,3125.6343929,25.904467
1966/09/11,3146.2212691,25.994469
1966/10/11,3142.1134092,26.04714
1966/11/11,3152.4387984,26.121599
1966/12/11,3154.0617874,26.13126
1967/01/01,3172.2112978,26.191768
1967/02/01,3186.3215467,26.209331
1967/03/01,3190.5471425,26.198901
1967/04/01,3200.4209401,26.324073
1967/05/01,3195.0378694,26.396211
1967/06/01,3182.5061927,26.479716
1967/07/01,3199.4227655,26.614654
1967/08/01,3245.36513,26.725405
1967/09/01,3205.759096,26.759941
1967/10/01,3198.7076424,26.933153
1967/11/01,3253.8156887,26.987668
1967/12/01,3267.07068,27.079179
1968/01/01,3303.0863956,27.289604
1968/02/01,3281.091474,27.318614
1968/03/01,3303.6991285,27.291782
1968/04/01,3348.8438106,27.469279
1968/05/01,3359.8847793,27.519495
1968/06/01,3337.5074046,27.511227
1968/07/01,3365.4813036,27.687523
1968/08/01,3405.2670159,27.782166
1968/09/01,3352.9396673,27.930311
1968/10/01,3404.6388465,28.115496
1968/11/01,3398.0664033,28.238515
1968/12/01,3374.5487332,28.245989
1969/01/01,3436.9137048,28.342385
1969/02/01,3437.2104738,28.380212
1969/03/01,3455.4187845,28.477403
1969/04/01,3448.3004252,28.672887
1969/05/01,3451.0770386,28.80073
1969/06/01,3421.7895204,28.926383
1969/07/01,3448.630296,29.122197
1969/08/01,3470.0140179,29.201625
1969/09/01,3453.9176644,29.276178
1969/10/01,3463.7426051,29.440312
1969/11/01,3426.150826,29.618844
1969/12/01,3424.0175599,29.740845
1970/01/01,3413.8299533,29.889435
1970/02/01,3454.4039434,29.966603
1970/03/01,3434.6011001,30.143962
1970/04/01,3448.8084211,30.302999
1970/05/01,3413.1353157,30.404106
1970/06/01,3444.6212477,30.492895
1970/07/01,3481.1921777,30.600911
1970/08/01,3485.1141732,30.694987
1970/09/01,3445.4236197,30.804103
1970/10/01,3442.4258331,30.98443
1970/11/01,3444.4574946,31.120089
1970/12/01,3456.2956702,31.19548
1971/01/01,3535.7847411,31.493728
1971/02/01,3513.5170102,31.603294
1971/03/01,3544.7562385,31.702978
1971/04/01,3548.2078762,31.88692
1971/05/01,3549.6400839,32.016798
1971/06/01,3545.8590185,32.096282
1971/07/01,3551.3610136,32.292595
1971/08/01,3572.2871283,32.446546
1971/09/01,3582.2178522,32.460859
1971/10/01,3571.5750784,32.612026
1971/11/01,3576.4645367,32.64972
1971/12/01,3617.2163846,32.838254
1972/01/01,3651.3553096,33.027145
1972/02/01,3612.8059712,33.137462
1972/03/01,3688.8416959,33.135393
1972/04/01,3721.4598364,33.280854
1972/05/01,3745.2262938,33.305457
1972/06/01,3730.7918564,33.313689
1972/07/01,3729.7242522,33.498283
1972/08/01,3793.6769803,33.571005
1972/09/01,3781.1647785,33.730712
1972/10/01,3826.5544258,33.976182
1972/11/01,3832.572003,34.127437
1972/12/01,3831.214556,34.19638
1973/01/01,3917.7371369,34.33672
1973/02/01,3911.3434597,34.465236
1973/03/01,3931.1063817,34.698044
1973/04/01,3938.5840665,34.84131
1973/05/01,3938.1399681,35.007879
1973/06/01,3944.1849527,35.150811
1973/07/01,3957.3860603,35.379247
1973/08/01,3875.3408067,35.704605
1973/09/01,3955.4411126,36.016149
1973/10/01,3952.4236548,36.243638
1973/11/01,3973.4126708,36.515488
1973/12/01,3961.5016815,36.740874
1974/01/01,3930.3255096,36.929946
1974/02/01,3914.8163395,37.108577
1974/03/01,3923.958151,37.261477
1974/04/01,3931.9594566,37.441227
1974/05/01,3939.2959081,37.864085
1974/06/01,3924.5846225,38.094688
1974/07/01,3905.9964207,38.514764
1974/08/01,3883.6300137,39.012513
1974/09/01,3907.1455611,39.472722
1974/10/01,3884.4153246,39.820791
1974/11/01,3838.0722828,40.286456
1974/12/01,3845.7723834,40.492753
1975/01/01,3832.4781203,40.923117
1975/02/01,3838.1291678,41.100625
1975/03/01,3807.6786978,41.276257
1975/04/01,3849.6000462,41.548579
1975/05/01,3871.8013692,41.685954
1975/06/01,3889.6765766,41.865467
1975/07/01,3921.989145,42.30324
1975/08/01,3937.31477602,42.459384
1975/09/01,3951.4640949,42.737376
1975/10/01,3985.7915999,43.124973
1975/11/01,3964.8427794,43.336838
1975/12/01,3994.8335986,43.438189
1976/01/01,4065.0071148,43.721371
1976/02/01,4073.5025745,43.765808
1976/03/01,4076.8403063,43.912821
1976/04/01,4094.3193633,44.105201
1976/05/01,4077.7500533,44.19134
1976/06/01,4109.3025662,44.303459
1976/07/01,4099.8517285,44.572242
1976/08/01,4094.1336795,44.805768
1976/09/01,4134.4205558,45.021991
1976/10/01,4126.0220194,45.35714
1976/11/01,4133.1016684,45.570621
1976/12/01,4194.7722731,45.872239
1977/01/01,4188.8022998,45.958164
1977/02/01,4190.5400064,46.185448
1977/03/01,4220.4256732,46.456388
1977/04/01,4269.3333243,46.761573
1977/05/01,4305.1597619,46.998728
1977/06/01,4259.2458875,47.239699
1977/07/01,4325.5181294,47.481083
1977/08/01,4330.8592329,47.746399
1977/09/01,4363.0246287,47.872519
1977/10/01,4318.7432878,48.239332
1977/11/01,4356.6747175,48.478184
1977/12/01,4374.1699806,48.782484
1978/01/01,4318.7210167,49.107306
1978/02/01,4332.1967385,49.396529
1978/03/01,4439.7172309,49.696166
1978/04/01,4502.0437774,50.206007
1978/05/01,4506.6012858,50.51614
1978/06/01,4534.4339103,50.777853
1978/07/01,4509.6096026,51.106376
1978/08/01,4578.6467843,51.334359
1978/09/01,4563.9506036,51.759265
1978/10/01,4580.2664169,52.077173
1978/11/01,4601.9381762,52.5358
1978/12/01,4622.9933882,52.887027
1979/01/01,4587.9605034,53.243353
1979/02/01,4613.6422612,53.625758
1979/03/01,4616.6002024,53.93089
1979/04/01,4606.4899711,54.37907
1979/05/01,4605.8064252,54.679556
1979/06/01,4618.4235938,55.041374
1979/07/01,4673.1991055,55.590384
1979/08/01,4635.4090708,55.773549
1979/09/01,4605.8368082,56.336067
1979/10/01,4666.0267104,56.64919
1979/11/01,4641.6940279,56.987889
1979/12/01,4629.4882566,57.362922
1980/01/01,4710.4314534,57.857786
1980/02/01,4639.5037047,58.23595
1980/03/01,4633.7758352,58.806264
1980/04/01,4621.8984912,59.359444
1980/05/01,4516.3108255,59.566212
1980/06/01,4511.2206799,59.874343
1980/07/01,4555.2929293,60.605599
1980/08/01,4537.5312825,61.042668
1980/09/01,4561.7767731,61.351732
1980/10/01,4616.6902269,62.240529
1980/11/01,4623.3360162,62.625587
1980/12/01,4671.3847525,62.933884
1981/01/01,4704.7345815,63.676419
1981/02/01,4703.0004233,64.233741
1981/03/01,4721.8219623,64.689841
1981/04/01,4648.1800774,65.060481
1981/05/01,4681.8337299,65.391056
1981/06/01,4703.301203,65.748463
1981/07/01,4730.3748057,66.160821
1981/08/01,4697.0475971,66.421397
1981/09/01,4726.548587,66.917782
1981/10/01,4652.9238931,67.364362
1981/11/01,4680.1702358,67.800057
1981/12/01,4635.9238583,68.23558
1982/01/01,4528.1320557,68.708546
1982/02/01,4584.1726927,68.645523
1982/03/01,4627.5212508,69.045931
1982/04/01,4650.074983,69.454963
1982/05/01,4541.4501142,69.774566
1982/06/01,4609.7099023,70.17047
1982/07/01,4637.6057668,70.418193
1982/08/01,4567.0398055,70.636872
1982/09/01,4631.56039595,70.744934
1982/10/01,4641.5311194,71.059044
1982/11/01,4641.6513055,71.218988
1982/12/01,4667.3825652,71.621968
1983/01/01,4665.3467059,71.701342
1983/02/01,4688.4698772,71.934761
1983/03/01,4682.089389,72.063896
1983/04/01,4759.0465371,72.529
1983/05/01,4758.394947,72.724879
1983/06/01,4820.1794993,72.846121
1983/07/01,4840.5910646,73.215872
1983/08/01,4867.6161024,73.414916
1983/09/01,4877.6018059,73.569212
1983/10/01,4874.3181597,73.938041
1983/11/01,4948.8337529,74.037034
1983/12/01,5009.8410718,74.324925
1984/01/01,5027.8565939,74.894063
1984/02/01,5040.9644572,75.180973
1984/03/01,5078.140918,75.224963
1984/04/01,5083.4239447,75.647499
1984/05/01,5156.5789129,75.516444
1984/06/01,5145.9842201,75.636057
1984/07/01,5126.2005038,76.098007
1984/08/01,5219.8582455,76.27111
1984/09/01,5154.2202278,76.530883
1984/10/01,5193.2931314,76.689218
1984/11/01,5202.609862,76.890374
1984/12/01,5233.6700066,76.820408
1985/01/01,5238.2623554,77.376842
1985/02/01,5293.5549241,77.65757
1985/03/01,5267.9657072,77.765588
1985/04/01,5293.015142,78.036543
1985/05/01,5300.3005432,78.234452
1985/06/01,5293.5132141,78.329005
1985/07/01,5351.101175,78.769647
1985/08/01,5396.2159078,78.860281
1985/09/01,5358.53992,78.470072
1985/10/01,5396.3632817,79.205454
1985/11/01,5393.2574352,79.416341
1985/12/01,5399.5852743,79.578205
1986/01/01,5442.5700883,79.759166
1986/02/01,5486.0363134,79.685611
1986/03/01,5471.1154819,79.655223
1986/04/01,5498.813966,80.002444
1986/05/01,5464.1180581,80.177095
1986/06/01,5478.4949678,80.420461
1986/07/01,5511.7354537,80.749496
1986/08/01,5498.4786506,80.870281
1986/09/01,5537.5938634,80.780224
1986/10/01,5564.8197098,81.288149
1986/11/01,5512.9214702,81.357029
1986/12/01,5566.0167106,81.554822
1987/01/01,5520.4707161,82.023593
1987/02/01,5598.4040601,82.097955
1987/03/01,5618.4522149,82.178451
1987/04/01,5636.5194783,82.723352
1987/05/01,5630.8883106,82.698222
1987/06/01,5639.2821932,82.678426
1987/07/01,5657.8107018,83.006687
1987/08/01,5673.1184117,83.285265
1987/09/01,5720.5578693,83.608048
1987/10/01,5735.4897457,83.967418
1987/11/01,5752.7044398,84.182627
1987/12/01,5790.975828,84.149955
1988/01/01,5774.8871158,84.670045
1988/02/01,5776.2996055,84.622274
1988/03/01,5841.7312501,84.807681
1988/04/01,5840.7489472,85.33483
1988/05/01,5857.3702121,85.631659
1988/06/01,5863.249834,85.833511
1988/07/01,5869.9089342,86.42395
1988/08/01,5900.305749,86.755896
1988/09/01,5897.5382938,86.920154
1988/10/01,5925.0935684,87.323746
1988/11/01,5945.1802456,87.478469
1988/12/01,6014.8840882,87.697785
1989/01/01,6047.320531,88.221075
1989/02/01,6004.2671532,88.56356
1989/03/01,6002.9873055,88.715366
1989/04/01,6046.0034128,88.973168
1989/05/01,6056.7935376,89.459676
1989/06/01,6077.7530422,89.767157
1989/07/01,6097.8534541,90.004381
1989/08/01,6093.5396215,90.166333
1989/09/01,6087.991795,90.429286
1989/10/01,6079.9931076,90.723915
1989/11/01,6106.051141,90.912896
1989/12/01,6110.7487106,91.06319
1990/01/01,6121.5418138,91.693067
1990/02/01,6161.6678518,91.97093
1990/03/01,6197.9252968,92.336003
1990/04/01,6184.1355378,92.824877
1990/05/01,6195.8968349,93.067731
1990/06/01,6152.0846287,93.407392
